name,id,post
Sunil Agarwal,SP 01,Speaker
Purshotam Gaggar,SP 02,Speaker
S. Pichaiya,SP 03,Speaker
Vaibhav Nagarkar,SP 04,Speaker
Harikrishna R.,SP 05,Speaker
Bastian Biswurm,SP 06,Speaker
Ariane Remmel,SP 07,Speaker
Dr. L. Boeing Singh,SP 08,Speaker
Dr. Shrikrishna Nandkishor Joshi,SP 09,Speaker
Rajiv Singh,SP 10,Speaker
Abhay Kumar,SP 11,Speaker
B. Venkataramani,SP 12,Speaker
Jeet Singha,SP 13,Speaker
Aditya Kumar,SP 14,Speaker
Atanu Chowdhury,SP 15,Speaker
Dr. Navrang Saini,SP 16,Speaker
Dr. S.K. Gupta,SP 17,Speaker
Dinesh Singh,SP 18,Speaker
Dr. Sopon Pornchokchai,SP 19,Speaker
Hemantha Kumar,SP 20,Speaker
Anil Kakoti,SP 21,Speaker
Devendra Arun Patekar,SP 22,Speaker
Mahendra S. Kakule,SP 23,Speaker
Manish Kumar Chaudhari,SP 24,Speaker
Blank,SP 25,Speaker
Blank,SP 26,Speaker
Blank,SP 27,Speaker
Blank,SP 28,Speaker
Blank,SP 29,Speaker
Blank,SP 30,Speaker
